node,route,arr,dep,arr5.prop,dep5.prop
JFK,JFK->TPA,-3.3454790823211877,3.7510094212651413,0.1862348178137652,0.13189771197846567
TPA,JFK->TPA,-3.3454790823211877,3.7510094212651413,0.1862348178137652,0.13189771197846567
JNU,JNU->SEA,-9.142857142857142,-3.6785714285714284,0.047619047619047616,0.05952380952380952
SEA,JNU->SEA,-9.142857142857142,-3.6785714285714284,0.047619047619047616,0.05952380952380952
KOA,KOA->LAX,3.936619718309859,6.908450704225352,0.23591549295774647,0.1795774647887324
LAX,KOA->LAX,3.936619718309859,6.908450704225352,0.23591549295774647,0.1795774647887324
KOA,KOA->SEA,1.504950495049505,3.217821782178218,0.2871287128712871,0.21782178217821782
SEA,KOA->SEA,1.504950495049505,3.217821782178218,0.2871287128712871,0.21782178217821782
LAS,LAS->ATL,-2.6769887880405765,1.5945657964837507,0.1553657234383342,0.1134789557805008
ATL,LAS->ATL,-2.6769887880405765,1.5945657964837507,0.1553657234383342,0.1134789557805008
LAS,LAS->AUS,112.33333333333333,104.66666666666667,0.6666666666666666,0.3333333333333333
AUS,LAS->AUS,112.33333333333333,104.66666666666667,0.6666666666666666,0.3333333333333333
LAS,LAS->BOS,-9.481818181818182,2.6363636363636362,0.14545454545454545,0.16363636363636364
BOS,LAS->BOS,-9.481818181818182,2.6363636363636362,0.14545454545454545,0.16363636363636364
LAS,LAS->BSM,112.33333333333333,104.66666666666667,0.6666666666666666,0.3333333333333333
BSM,LAS->BSM,112.33333333333333,104.66666666666667,0.6666666666666666,0.3333333333333333
LAS,LAS->CVG,-10.16326530612245,-6.5646258503401365,0.10884353741496598,0.07482993197278912
CVG,LAS->CVG,-10.16326530612245,-6.5646258503401365,0.10884353741496598,0.07482993197278912
LAS,LAS->DTW,-6.085833333333333,-1.697751873438801,0.13666666666666666,0.07243963363863447
DTW,LAS->DTW,-6.085833333333333,-1.697751873438801,0.13666666666666666,0.07243963363863447
LAS,LAS->FLL,30,-1,1,0
FLL,LAS->FLL,30,-1,1,0
LAS,LAS->IAD,-10,-10,0,0
IAD,LAS->IAD,-10,-10,0,0
LAS,LAS->IND,-15.5,-11,0,0
IND,LAS->IND,-15.5,-11,0,0
LAS,LAS->JFK,-7.972383720930233,2.9462989840348333,0.15843023255813954,0.13642960812772134
JFK,LAS->JFK,-7.972383720930233,2.9462989840348333,0.15843023255813954,0.13642960812772134
LAS,LAS->LAX,-3.952267303102625,0.5357142857142857,0.13842482100238662,0.09761904761904762
LAX,LAS->LAX,-3.952267303102625,0.5357142857142857,0.13842482100238662,0.09761904761904762
LAS,LAS->MCO,-4.75,-4.5,0.5,0
MCO,LAS->MCO,-4.75,-4.5,0.5,0
LAS,LAS->MSP,-5.8610698365527485,-1.2737388724035608,0.12035661218424963,0.07789317507418397
MSP,LAS->MSP,-5.8610698365527485,-1.2737388724035608,0.12035661218424963,0.07789317507418397
LAS,LAS->PDX,53,60,1,1
PDX,LAS->PDX,53,60,1,1
LAS,LAS->RDU,-22.083333333333332,-6.833333333333333,0,0
RDU,LAS->RDU,-22.083333333333332,-6.833333333333333,0,0
LAS,LAS->SEA,-5.780716723549488,-0.017902813299232757,0.14249146757679182,0.11764705882352941
SEA,LAS->SEA,-5.780716723549488,-0.017902813299232757,0.14249146757679182,0.11764705882352941
LAS,LAS->SJC,-10.444444444444445,-1.5555555555555556,0.1111111111111111,0.1111111111111111
SJC,LAS->SJC,-10.444444444444445,-1.5555555555555556,0.1111111111111111,0.1111111111111111
LAS,LAS->SLC,-2.043611323641928,0.25229357798165136,0.13771996939556236,0.09938837920489296
SLC,LAS->SLC,-2.043611323641928,0.25229357798165136,0.13771996939556236,0.09938837920489296
LAS,LAS->TPA,14,-6,1,0
TPA,LAS->TPA,14,-6,1,0
LAX,LAX->ATL,-2.452054794520548,4.054698457223002,0.18967334035827185,0.20196353436185133
ATL,LAX->ATL,-2.452054794520548,4.054698457223002,0.18967334035827185,0.20196353436185133
LAX,LAX->AUS,-5.989316239316239,1.9381663113006398,0.1111111111111111,0.14072494669509594
AUS,LAX->AUS,-5.989316239316239,1.9381663113006398,0.1111111111111111,0.14072494669509594
