node,route,delay,n_flights
MSP,SJC->MSP,<0 Delay (On-Time),0
MSP,SJC->MSP,< 15mins Delayed,0
MSP,SJC->MSP,15-60mins Delayed,0
MSP,SJC->MSP,More than 60m Delayed,0
SJU,SJU->MSP,<0 Delay (On-Time),16
SJU,SJU->MSP,< 15mins Delayed,0
SJU,SJU->MSP,15-60mins Delayed,1
SJU,SJU->MSP,More than 60m Delayed,0
MSP,SJU->MSP,<0 Delay (On-Time),0
MSP,SJU->MSP,< 15mins Delayed,0
MSP,SJU->MSP,15-60mins Delayed,0
MSP,SJU->MSP,More than 60m Delayed,0
SLC,SLC->MSP,<0 Delay (On-Time),1393
SLC,SLC->MSP,< 15mins Delayed,347
SLC,SLC->MSP,15-60mins Delayed,114
SLC,SLC->MSP,More than 60m Delayed,40
MSP,SLC->MSP,<0 Delay (On-Time),0
MSP,SLC->MSP,< 15mins Delayed,0
MSP,SLC->MSP,15-60mins Delayed,0
MSP,SLC->MSP,More than 60m Delayed,0
SMF,SMF->MSP,<0 Delay (On-Time),210
SMF,SMF->MSP,< 15mins Delayed,134
SMF,SMF->MSP,15-60mins Delayed,43
SMF,SMF->MSP,More than 60m Delayed,15
MSP,SMF->MSP,<0 Delay (On-Time),0
MSP,SMF->MSP,< 15mins Delayed,0
MSP,SMF->MSP,15-60mins Delayed,0
MSP,SMF->MSP,More than 60m Delayed,0
SNA,SNA->MSP,<0 Delay (On-Time),275
SNA,SNA->MSP,< 15mins Delayed,93
SNA,SNA->MSP,15-60mins Delayed,36
SNA,SNA->MSP,More than 60m Delayed,10
MSP,SNA->MSP,<0 Delay (On-Time),0
MSP,SNA->MSP,< 15mins Delayed,0
MSP,SNA->MSP,15-60mins Delayed,0
MSP,SNA->MSP,More than 60m Delayed,0
SRQ,SRQ->MSP,<0 Delay (On-Time),8
SRQ,SRQ->MSP,< 15mins Delayed,0
SRQ,SRQ->MSP,15-60mins Delayed,2
SRQ,SRQ->MSP,More than 60m Delayed,0
MSP,SRQ->MSP,<0 Delay (On-Time),0
MSP,SRQ->MSP,< 15mins Delayed,0
MSP,SRQ->MSP,15-60mins Delayed,0
MSP,SRQ->MSP,More than 60m Delayed,0
STL,STL->MSP,<0 Delay (On-Time),138
STL,STL->MSP,< 15mins Delayed,16
STL,STL->MSP,15-60mins Delayed,6
STL,STL->MSP,More than 60m Delayed,8
MSP,STL->MSP,<0 Delay (On-Time),0
MSP,STL->MSP,< 15mins Delayed,0
MSP,STL->MSP,15-60mins Delayed,0
MSP,STL->MSP,More than 60m Delayed,0
STT,STT->MSP,<0 Delay (On-Time),2
STT,STT->MSP,< 15mins Delayed,2
STT,STT->MSP,15-60mins Delayed,1
STT,STT->MSP,More than 60m Delayed,0
MSP,STT->MSP,<0 Delay (On-Time),0
MSP,STT->MSP,< 15mins Delayed,0
MSP,STT->MSP,15-60mins Delayed,0
MSP,STT->MSP,More than 60m Delayed,0
TPA,TPA->MSP,<0 Delay (On-Time),525
TPA,TPA->MSP,< 15mins Delayed,109
TPA,TPA->MSP,15-60mins Delayed,23
TPA,TPA->MSP,More than 60m Delayed,10
MSP,TPA->MSP,<0 Delay (On-Time),0
MSP,TPA->MSP,< 15mins Delayed,0
MSP,TPA->MSP,15-60mins Delayed,0
MSP,TPA->MSP,More than 60m Delayed,0
TUS,TUS->MSP,<0 Delay (On-Time),59
TUS,TUS->MSP,< 15mins Delayed,15
TUS,TUS->MSP,15-60mins Delayed,9
TUS,TUS->MSP,More than 60m Delayed,2
MSP,TUS->MSP,<0 Delay (On-Time),0
MSP,TUS->MSP,< 15mins Delayed,0
MSP,TUS->MSP,15-60mins Delayed,0
MSP,TUS->MSP,More than 60m Delayed,0
