node,route,delay,n_flights
MEM,MEM->MSP,< 15mins Delayed,1
MEM,MEM->MSP,15-60mins Delayed,0
MEM,MEM->MSP,More than 60m Delayed,2
MSP,MEM->MSP,<0 Delay (On-Time),0
MSP,MEM->MSP,< 15mins Delayed,0
MSP,MEM->MSP,15-60mins Delayed,0
MSP,MEM->MSP,More than 60m Delayed,0
MIA,MIA->MSP,<0 Delay (On-Time),282
MIA,MIA->MSP,< 15mins Delayed,69
MIA,MIA->MSP,15-60mins Delayed,18
MIA,MIA->MSP,More than 60m Delayed,6
MSP,MIA->MSP,<0 Delay (On-Time),0
MSP,MIA->MSP,< 15mins Delayed,0
MSP,MIA->MSP,15-60mins Delayed,0
MSP,MIA->MSP,More than 60m Delayed,0
MKE,MKE->MSP,<0 Delay (On-Time),287
MKE,MKE->MSP,< 15mins Delayed,37
MKE,MKE->MSP,15-60mins Delayed,21
MKE,MKE->MSP,More than 60m Delayed,6
MSP,MKE->MSP,<0 Delay (On-Time),0
MSP,MKE->MSP,< 15mins Delayed,0
MSP,MKE->MSP,15-60mins Delayed,0
MSP,MKE->MSP,More than 60m Delayed,0
MSN,MSN->MSP,<0 Delay (On-Time),73
MSN,MSN->MSP,< 15mins Delayed,12
MSN,MSN->MSP,15-60mins Delayed,5
MSN,MSN->MSP,More than 60m Delayed,2
MSP,MSN->MSP,<0 Delay (On-Time),0
MSP,MSN->MSP,< 15mins Delayed,0
MSP,MSN->MSP,15-60mins Delayed,0
MSP,MSN->MSP,More than 60m Delayed,0
MSO,MSO->MSP,<0 Delay (On-Time),234
MSO,MSO->MSP,< 15mins Delayed,51
MSO,MSO->MSP,15-60mins Delayed,16
MSO,MSO->MSP,More than 60m Delayed,13
MSP,MSO->MSP,<0 Delay (On-Time),0
MSP,MSO->MSP,< 15mins Delayed,0
MSP,MSO->MSP,15-60mins Delayed,0
MSP,MSO->MSP,More than 60m Delayed,0
MSP,MSP->ABQ,<0 Delay (On-Time),0
MSP,MSP->ABQ,< 15mins Delayed,0
MSP,MSP->ABQ,15-60mins Delayed,0
MSP,MSP->ABQ,More than 60m Delayed,0
ABQ,MSP->ABQ,<0 Delay (On-Time),1
ABQ,MSP->ABQ,< 15mins Delayed,0
ABQ,MSP->ABQ,15-60mins Delayed,0
ABQ,MSP->ABQ,More than 60m Delayed,0
MSP,MSP->ANC,<0 Delay (On-Time),0
MSP,MSP->ANC,< 15mins Delayed,0
MSP,MSP->ANC,15-60mins Delayed,0
MSP,MSP->ANC,More than 60m Delayed,0
ANC,MSP->ANC,<0 Delay (On-Time),225
ANC,MSP->ANC,< 15mins Delayed,69
ANC,MSP->ANC,15-60mins Delayed,23
ANC,MSP->ANC,More than 60m Delayed,7
MSP,MSP->ATL,<0 Delay (On-Time),0
MSP,MSP->ATL,< 15mins Delayed,0
MSP,MSP->ATL,15-60mins Delayed,0
MSP,MSP->ATL,More than 60m Delayed,0
ATL,MSP->ATL,<0 Delay (On-Time),2302
ATL,MSP->ATL,< 15mins Delayed,537
ATL,MSP->ATL,15-60mins Delayed,116
ATL,MSP->ATL,More than 60m Delayed,41
MSP,MSP->AUS,<0 Delay (On-Time),0
MSP,MSP->AUS,< 15mins Delayed,0
MSP,MSP->AUS,15-60mins Delayed,0
MSP,MSP->AUS,More than 60m Delayed,0
AUS,MSP->AUS,<0 Delay (On-Time),340
AUS,MSP->AUS,< 15mins Delayed,71
AUS,MSP->AUS,15-60mins Delayed,29
AUS,MSP->AUS,More than 60m Delayed,12
MSP,MSP->BDL,<0 Delay (On-Time),0
MSP,MSP->BDL,< 15mins Delayed,0
MSP,MSP->BDL,15-60mins Delayed,0
MSP,MSP->BDL,More than 60m Delayed,0
BDL,MSP->BDL,<0 Delay (On-Time),139
BDL,MSP->BDL,< 15mins Delayed,26
BDL,MSP->BDL,15-60mins Delayed,13
BDL,MSP->BDL,More than 60m Delayed,6
MSP,MSP->BIL,<0 Delay (On-Time),0
MSP,MSP->BIL,< 15mins Delayed,0
MSP,MSP->BIL,15-60mins Delayed,0
MSP,MSP->BIL,More than 60m Delayed,0
BIL,MSP->BIL,<0 Delay (On-Time),280
BIL,MSP->BIL,< 15mins Delayed,23
BIL,MSP->BIL,15-60mins Delayed,20
BIL,MSP->BIL,More than 60m Delayed,5
MSP,MSP->BIS,<0 Delay (On-Time),0
MSP,MSP->BIS,< 15mins Delayed,0
MSP,MSP->BIS,15-60mins Delayed,0
MSP,MSP->BIS,More than 60m Delayed,0
BIS,MSP->BIS,<0 Delay (On-Time),61
BIS,MSP->BIS,< 15mins Delayed,13
BIS,MSP->BIS,15-60mins Delayed,6
BIS,MSP->BIS,More than 60m Delayed,0
MSP,MSP->BNA,<0 Delay (On-Time),0
MSP,MSP->BNA,< 15mins Delayed,0
MSP,MSP->BNA,15-60mins Delayed,0
MSP,MSP->BNA,More than 60m Delayed,0
BNA,MSP->BNA,<0 Delay (On-Time),423
BNA,MSP->BNA,< 15mins Delayed,60
BNA,MSP->BNA,15-60mins Delayed,30
BNA,MSP->BNA,More than 60m Delayed,17
MSP,MSP->BOI,<0 Delay (On-Time),0
MSP,MSP->BOI,< 15mins Delayed,0
MSP,MSP->BOI,15-60mins Delayed,0
MSP,MSP->BOI,More than 60m Delayed,0
BOI,MSP->BOI,<0 Delay (On-Time),333
BOI,MSP->BOI,< 15mins Delayed,57
BOI,MSP->BOI,15-60mins Delayed,20
BOI,MSP->BOI,More than 60m Delayed,7
MSP,MSP->BOS,<0 Delay (On-Time),0
MSP,MSP->BOS,< 15mins Delayed,0
MSP,MSP->BOS,15-60mins Delayed,0
MSP,MSP->BOS,More than 60m Delayed,0
BOS,MSP->BOS,<0 Delay (On-Time),926
BOS,MSP->BOS,< 15mins Delayed,195
BOS,MSP->BOS,15-60mins Delayed,75
BOS,MSP->BOS,More than 60m Delayed,30
MSP,MSP->BSM,<0 Delay (On-Time),0
MSP,MSP->BSM,< 15mins Delayed,0
MSP,MSP->BSM,15-60mins Delayed,0
MSP,MSP->BSM,More than 60m Delayed,0
BSM,MSP->BSM,<0 Delay (On-Time),340
BSM,MSP->BSM,< 15mins Delayed,71
BSM,MSP->BSM,15-60mins Delayed,29
BSM,MSP->BSM,More than 60m Delayed,12
MSP,MSP->BWI,<0 Delay (On-Time),0
MSP,MSP->BWI,< 15mins Delayed,0
MSP,MSP->BWI,15-60mins Delayed,0
MSP,MSP->BWI,More than 60m Delayed,0
BWI,MSP->BWI,<0 Delay (On-Time),520
BWI,MSP->BWI,< 15mins Delayed,85
BWI,MSP->BWI,15-60mins Delayed,31
BWI,MSP->BWI,More than 60m Delayed,9
MSP,MSP->BZN,<0 Delay (On-Time),0
MSP,MSP->BZN,< 15mins Delayed,0
MSP,MSP->BZN,15-60mins Delayed,0
MSP,MSP->BZN,More than 60m Delayed,0
BZN,MSP->BZN,<0 Delay (On-Time),515
BZN,MSP->BZN,< 15mins Delayed,61
BZN,MSP->BZN,15-60mins Delayed,26
BZN,MSP->BZN,More than 60m Delayed,13
MSP,MSP->CLE,<0 Delay (On-Time),0
MSP,MSP->CLE,< 15mins Delayed,0
MSP,MSP->CLE,15-60mins Delayed,0
MSP,MSP->CLE,More than 60m Delayed,0
CLE,MSP->CLE,<0 Delay (On-Time),1
CLE,MSP->CLE,< 15mins Delayed,0
CLE,MSP->CLE,15-60mins Delayed,0
CLE,MSP->CLE,More than 60m Delayed,0
MSP,MSP->CLT,<0 Delay (On-Time),0
MSP,MSP->CLT,< 15mins Delayed,0
MSP,MSP->CLT,15-60mins Delayed,0
MSP,MSP->CLT,More than 60m Delayed,0
CLT,MSP->CLT,<0 Delay (On-Time),218
CLT,MSP->CLT,< 15mins Delayed,50
CLT,MSP->CLT,15-60mins Delayed,17
CLT,MSP->CLT,More than 60m Delayed,12
MSP,MSP->CMH,<0 Delay (On-Time),0
MSP,MSP->CMH,< 15mins Delayed,0
MSP,MSP->CMH,15-60mins Delayed,0
MSP,MSP->CMH,More than 60m Delayed,0
CMH,MSP->CMH,<0 Delay (On-Time),83
CMH,MSP->CMH,< 15mins Delayed,13
CMH,MSP->CMH,15-60mins Delayed,5
CMH,MSP->CMH,More than 60m Delayed,3
MSP,MSP->CVG,<0 Delay (On-Time),0
MSP,MSP->CVG,< 15mins Delayed,0
MSP,MSP->CVG,15-60mins Delayed,0
MSP,MSP->CVG,More than 60m Delayed,0
CVG,MSP->CVG,<0 Delay (On-Time),116
CVG,MSP->CVG,< 15mins Delayed,32
CVG,MSP->CVG,15-60mins Delayed,16
CVG,MSP->CVG,More than 60m Delayed,3
MSP,MSP->DCA,<0 Delay (On-Time),0
MSP,MSP->DCA,< 15mins Delayed,0
MSP,MSP->DCA,15-60mins Delayed,0
MSP,MSP->DCA,More than 60m Delayed,0
DCA,MSP->DCA,<0 Delay (On-Time),920
DCA,MSP->DCA,< 15mins Delayed,119
DCA,MSP->DCA,15-60mins Delayed,43
DCA,MSP->DCA,More than 60m Delayed,26
MSP,MSP->DEN,<0 Delay (On-Time),0
MSP,MSP->DEN,< 15mins Delayed,0
MSP,MSP->DEN,15-60mins Delayed,0
MSP,MSP->DEN,More than 60m Delayed,0
DEN,MSP->DEN,<0 Delay (On-Time),1038
DEN,MSP->DEN,< 15mins Delayed,118
DEN,MSP->DEN,15-60mins Delayed,33
DEN,MSP->DEN,More than 60m Delayed,14
MSP,MSP->DFW,<0 Delay (On-Time),0
MSP,MSP->DFW,< 15mins Delayed,0
MSP,MSP->DFW,15-60mins Delayed,0
MSP,MSP->DFW,More than 60m Delayed,0
DFW,MSP->DFW,<0 Delay (On-Time),572
DFW,MSP->DFW,< 15mins Delayed,95
DFW,MSP->DFW,15-60mins Delayed,54
DFW,MSP->DFW,More than 60m Delayed,39
MSP,MSP->DLH,<0 Delay (On-Time),0
MSP,MSP->DLH,< 15mins Delayed,0
MSP,MSP->DLH,15-60mins Delayed,0
MSP,MSP->DLH,More than 60m Delayed,0
DLH,MSP->DLH,<0 Delay (On-Time),8
DLH,MSP->DLH,< 15mins Delayed,1
DLH,MSP->DLH,15-60mins Delayed,1
DLH,MSP->DLH,More than 60m Delayed,1
MSP,MSP->DTW,<0 Delay (On-Time),0
MSP,MSP->DTW,< 15mins Delayed,0
MSP,MSP->DTW,15-60mins Delayed,0
MSP,MSP->DTW,More than 60m Delayed,0
DTW,MSP->DTW,<0 Delay (On-Time),1662
DTW,MSP->DTW,< 15mins Delayed,250
DTW,MSP->DTW,15-60mins Delayed,74
DTW,MSP->DTW,More than 60m Delayed,22
MSP,MSP->EWR,<0 Delay (On-Time),0
MSP,MSP->EWR,< 15mins Delayed,0
MSP,MSP->EWR,15-60mins Delayed,0
MSP,MSP->EWR,More than 60m Delayed,0
EWR,MSP->EWR,<0 Delay (On-Time),70
EWR,MSP->EWR,< 15mins Delayed,19
EWR,MSP->EWR,15-60mins Delayed,16
EWR,MSP->EWR,More than 60m Delayed,9
MSP,MSP->FAR,<0 Delay (On-Time),0
MSP,MSP->FAR,< 15mins Delayed,0
MSP,MSP->FAR,15-60mins Delayed,0
MSP,MSP->FAR,More than 60m Delayed,0
FAR,MSP->FAR,<0 Delay (On-Time),241
FAR,MSP->FAR,< 15mins Delayed,35
FAR,MSP->FAR,15-60mins Delayed,18
FAR,MSP->FAR,More than 60m Delayed,7
MSP,MSP->FCA,<0 Delay (On-Time),0
